kshnod3	kshnmd3	sernod3	seqnod3	stnnod3	stnnmd3	buinod3	buinmd3	jikcnd3	jiknod3	mevald3	jgecdd3	jgenmd3	ngvald3	tolsnd3	medayd3	metimd3	wkrnod3	wkrnmd3
006	75kVA	HG0006	10	工程5	注油後カバー締め	057	注油後カバー締め　50k以上	5	4	41.7	1	OK		000027A	2023/1/10	09:38:00	2023/1/10	09:39:00
006	75kVA	HG0006	10	工程5	注油後カバー締め	057	注油後カバー締め　50k以上	5	5	41.7	1	OK		000027A	2023/1/10	09:38:00	2023/1/10	09:39:00
006	75kVA	HG0006	11	工程6	出荷前カバー締め	060	出荷前カバー締め確認　50k以上	5	1	41.7	1	OK		000027A	2023/1/10	09:40:00	2023/1/10	09:41:00
006	75kVA	HG0006	11	工程6	出荷前カバー締め	060	出荷前カバー締め確認　50k以上	5	2	41.7	1	OK		000027A	2023/1/10	09:40:00	2023/1/10	09:41:00
006	75kVA	HG0006	11	工程6	出荷前カバー締め	060	出荷前カバー締め確認　50k以上	5	3	41.7	1	OK		000027A	2023/1/10	09:40:00	2023/1/10	09:41:00
006	75kVA	HG0006	11	工程6	出荷前カバー締め	060	出荷前カバー締め確認　50k以上	5	4	41.7	1	OK		000027A	2023/1/10	09:40:00	2023/1/10	09:41:00
006	75kVA	HG0006	11	工程6	出荷前カバー締め	060	出荷前カバー締め確認　50k以上	5	5	41.7	1	OK		000027A	2023/1/10	09:40:00	2023/1/10	09:41:00
007	100kVA	HG0007	5	工程4	一次碍管固定・接続/二次碍管固定・接続	021	二次固定①　100k	3	1	39.2	1	OK		000014A	2023/1/10	09:38:00	2023/1/10	09:39:00
007	100kVA	HG0007	5	工程4	一次碍管固定・接続/二次碍管固定・接続	021	二次固定①　100k	3	2	39.2	1	OK		000014A	2023/1/10	09:38:00	2023/1/10	09:39:00
007	100kVA	HG0007	5	工程4	一次碍管固定・接続/二次碍管固定・接続	021	二次固定①　100k	3	3	39.2	1	OK		000014A	2023/1/10	09:38:00	2023/1/10	09:39:00
007	100kVA	HG0007	6	工程4	一次碍管固定・接続/二次碍管固定・接続	012	二次固定②　100k	3	1	78.4	1	OK		000014A	2023/1/10	09:40:00	2023/1/10	09:41:00
007	100kVA	HG0007	6	工程4	一次碍管固定・接続/二次碍管固定・接続	012	二次固定②　100k	3	2	78.4	1	OK		000014A	2023/1/10	09:40:00	2023/1/10	09:41:00
007	100kVA	HG0007	6	工程4	一次碍管固定・接続/二次碍管固定・接続	012	二次固定②　100k	3	3	78.4	1	OK		000014A	2023/1/10	09:40:00	2023/1/10	09:41:00
007	100kVA	HG0007	7	工程4	一次碍管固定・接続/二次碍管固定・接続	036	二次配線　100k	3	1	78.4	1	OK		000024A	2023/1/10	09:42:00	2023/1/10	09:43:00
007	100kVA	HG0007	7	工程4	一次碍管固定・接続/二次碍管固定・接続	036	二次配線　100k	3	2	78.4	1	OK		000024A	2023/1/10	09:42:00	2023/1/10	09:43:00
007	100kVA	HG0007	7	工程4	一次碍管固定・接続/二次碍管固定・接続	036	二次配線　100k	3	3	78.4	1	OK		000024A	2023/1/10	09:42:00	2023/1/10	09:43:00
007	100kVA	HG0007	8	工程4	一次碍管固定・接続/二次碍管固定・接続	043	一次固定　100k	6	1	150	1	OK		000001A	2023/1/10	09:44:00	2023/1/10	09:45:00
007	100kVA	HG0007	8	工程4	一次碍管固定・接続/二次碍管固定・接続	043	一次固定　100k	6	2	150	1	OK		000001A	2023/1/10	09:44:00	2023/1/10	09:45:00
007	100kVA	HG0007	8	工程4	一次碍管固定・接続/二次碍管固定・接続	043	一次固定　100k	6	3	150	1	OK		000001A	2023/1/10	09:44:00	2023/1/10	09:45:00
007	100kVA	HG0007	8	工程4	一次碍管固定・接続/二次碍管固定・接続	043	一次固定　100k	6	4	150	1	OK		000001A	2023/1/10	09:44:00	2023/1/10	09:45:00
007	100kVA	HG0007	8	工程4	一次碍管固定・接続/二次碍管固定・接続	043	一次固定　100k	6	5	150	1	OK		000001A	2023/1/10	09:44:00	2023/1/10	09:45:00
007	100kVA	HG0007	8	工程4	一次碍管固定・接続/二次碍管固定・接続	043	一次固定　100k	6	6	150	1	OK		000001A	2023/1/10	09:44:00	2023/1/10	09:45:00
007	100kVA	HG0007	9	工程4	一次碍管固定・接続/二次碍管固定・接続	052	一次配線　100k	2	1	150	1	OK		000001A	2023/1/10	09:50:00	2023/1/10	09:51:00
007	100kVA	HG0007	9	工程4	一次碍管固定・接続/二次碍管固定・接続	052	一次配線　100k	2	2	150	1	OK		000001A	2023/1/10	09:50:00	2023/1/10	09:51:00
007	100kVA	HG0007	10	工程5	注油後カバー締め	057	注油後カバー締め　50k以上	5	1	41.7	1	OK		000027A	2023/1/10	09:52:00	2023/1/10	09:53:00
007	100kVA	HG0007	10	工程5	注油後カバー締め	057	注油後カバー締め　50k以上	5	2	41.7	1	OK		000027A	2023/1/10	09:52:00	2023/1/10	09:53:00
007	100kVA	HG0007	10	工程5	注油後カバー締め	057	注油後カバー締め　50k以上	5	3	41.7	1	OK		000027A	2023/1/10	09:52:00	2023/1/10	09:53:00
007	100kVA	HG0007	10	工程5	注油後カバー締め	057	注油後カバー締め　50k以上	5	4	41.7	1	OK		000027A	2023/1/10	09:52:00	2023/1/10	09:53:00
007	100kVA	HG0007	10	工程5	注油後カバー締め	057	注油後カバー締め　50k以上	5	5	41.7	1	OK		000027A	2023/1/10	09:52:00	2023/1/10	09:53:00
007	100kVA	HG0007	11	工程6	出荷前カバー締め	060	出荷前カバー締め確認　50k以上	5	1	41.7	1	OK		000027A	2023/1/10	09:53:00	2023/1/10	09:54:00
007	100kVA	HG0007	11	工程6	出荷前カバー締め	060	出荷前カバー締め確認　50k以上	5	2	41.7	1	OK		000027A	2023/1/10	09:53:00	2023/1/10	09:54:00
007	100kVA	HG0007	11	工程6	出荷前カバー締め	060	出荷前カバー締め確認　50k以上	5	3	41.7	1	OK		000027A	2023/1/10	09:53:00	2023/1/10	09:54:00
007	100kVA	HG0007	11	工程6	出荷前カバー締め	060	出荷前カバー締め確認　50k以上	5	4	41.7	1	OK		000027A	2023/1/10	09:53:00	2023/1/10	09:54:00
007	100kVA	HG0007	11	工程6	出荷前カバー締め	060	出荷前カバー締め確認　50k以上	5	5	41.7	1	OK		000027A	2023/1/10	09:53:00	2023/1/10	09:54:00
008	制5kVA	HG0008	1	工程1	二次固定	028	二次固定　制5k	4	1	200	1	OK		000001A	2023/1/10	08:00:00	2023/1/10	08:01:00
008	制5kVA	HG0008	1	工程1	二次固定	028	二次固定　制5k	4	2	200	1	OK		000001A	2023/1/10	08:00:00	2023/1/10	08:01:00
008	制5kVA	HG0008	1	工程1	二次固定	028	二次固定　制5k	4	3	200	1	OK		000001A	2023/1/10	08:00:00	2023/1/10	08:01:00
008	制5kVA	HG0008	1	工程1	二次固定	028	二次固定　制5k	4	4	200	1	OK		000001A	2023/1/10	08:00:00	2023/1/10	08:01:00
008	制5kVA	HG0008	5	工程4	一次碍管固定・接続/二次碍管固定・接続	028	二次配線　制5k	4	1	3.9	1	OK		000019A	2023/1/10	09:46:00	2023/1/10	09:47:00
008	制5kVA	HG0008	5	工程4	一次碍管固定・接続/二次碍管固定・接続	028	二次配線　制5k	4	2	3.9	1	OK		000019A	2023/1/10	09:46:00	2023/1/10	09:47:00
008	制5kVA	HG0008	5	工程4	一次碍管固定・接続/二次碍管固定・接続	028	二次配線　制5k	4	3	3.9	1	OK		000019A	2023/1/10	09:46:00	2023/1/10	09:47:00
008	制5kVA	HG0008	5	工程4	一次碍管固定・接続/二次碍管固定・接続	028	二次配線　制5k	4	4	3.9	1	OK		000019A	2023/1/10	09:46:00	2023/1/10	09:47:00
008	制5kVA	HG0008	6	工程4	一次碍管固定・接続/二次碍管固定・接続	044	一次固定　制5k	6	1	150	1	OK		000001A	2023/1/10	09:48:00	2023/1/10	09:49:00
008	制5kVA	HG0008	6	工程4	一次碍管固定・接続/二次碍管固定・接続	044	一次固定　制5k	6	2	150	1	OK		000001A	2023/1/10	09:48:00	2023/1/10	09:49:00
008	制5kVA	HG0008	6	工程4	一次碍管固定・接続/二次碍管固定・接続	044	一次固定　制5k	6	3	150	1	OK		000001A	2023/1/10	09:48:00	2023/1/10	09:49:00
008	制5kVA	HG0008	6	工程4	一次碍管固定・接続/二次碍管固定・接続	044	一次固定　制5k	6	4	150	1	OK		000001A	2023/1/10	09:48:00	2023/1/10	09:49:00
008	制5kVA	HG0008	6	工程4	一次碍管固定・接続/二次碍管固定・接続	044	一次固定　制5k	6	5	150	1	OK		000001A	2023/1/10	09:48:00	2023/1/10	09:49:00
008	制5kVA	HG0008	7	工程4	一次碍管固定・接続/二次碍管固定・接続	053	一次配線　制5k	2	1	150	1	OK		000001A	2023/1/10	09:50:00	2023/1/10	09:51:00
008	制5kVA	HG0008	7	工程4	一次碍管固定・接続/二次碍管固定・接続	053	一次配線　制5k	2	2	150	1	OK		000001A	2023/1/10	09:50:00	2023/1/10	09:51:00
008	制5kVA	HG0008	8	工程5	注油後カバー締め	055	注油後カバー締め　制5k・制8.4k	2	1	41.7	1	OK		000027A	2023/1/10	09:52:00	2023/1/10	09:53:00
008	制5kVA	HG0008	8	工程5	注油後カバー締め	055	注油後カバー締め　制5k・制8.4k	2	2	41.7	1	OK		000027A	2023/1/10	09:52:00	2023/1/10	09:53:00
008	制5kVA	HG0008	9	工程6	出荷前カバー締め	058	出荷前カバー締め確認　制5k・制8.4k	2	1	41.7	1	OK		000027A	2023/1/10	09:54:00	2023/1/10	09:55:00
008	制5kVA	HG0008	9	工程6	出荷前カバー締め	058	出荷前カバー締め確認　制5k・制8.4k	2	2	41.7	1	OK		000027A	2023/1/10	09:54:00	2023/1/10	09:55:00
009	制8.4kVA	HG0009	1	工程1	二次固定	02	二次固定　制8.4k	4	1	200	1	OK		000001A	2023/1/10	08:00:00	2023/1/10	08:01:00
009	制8.4kVA	HG0009	1	工程1	二次固定	02	二次固定　制8.4k	4	2	200	1	OK		000001A	2023/1/10	08:00:00	2023/1/10	08:01:00
009	制8.4kVA	HG0009	5	工程4	一次碍管固定・接続/二次碍管固定・接続	029	二次配線　制8.4k	3	1	3.9	1	OK		000019A	2023/1/10	09:52:00	2023/1/10	09:53:00
009	制8.4kVA	HG0009	5	工程4	一次碍管固定・接続/二次碍管固定・接続	029	二次配線　制8.4k	3	2	3.9	1	OK		000019A	2023/1/10	09:52:00	2023/1/10	09:53:00
009	制8.4kVA	HG0009	6	工程4	一次碍管固定・接続/二次碍管固定・接続	045	一次固定　制8.4k	6	1	150	1	OK		000001A	2023/1/10	09:54:00	2023/1/10	09:55:00
009	制8.4kVA	HG0009	6	工程4	一次碍管固定・接続/二次碍管固定・接続	045	一次固定　制8.4k	6	2	150	1	OK		000001A	2023/1/10	09:54:00	2023/1/10	09:55:00
009	制8.4kVA	HG0009	6	工程4	一次碍管固定・接続/二次碍管固定・接続	045	一次固定　制8.4k	6	3	150	1	OK		000001A	2023/1/10	09:54:00	2023/1/10	09:55:00
009	制8.4kVA	HG0009	6	工程4	一次碍管固定・接続/二次碍管固定・接続	045	一次固定　制8.4k	6	4	150	1	OK		000001A	2023/1/10	09:54:00	2023/1/10	09:55:00
009	制8.4kVA	HG0009	6	工程4	一次碍管固定・接続/二次碍管固定・接続	045	一次固定　制8.4k	6	5	150	1	OK		000001A	2023/1/10	09:54:00	2023/1/10	09:55:00
009	制8.4kVA	HG0009	6	工程4	一次碍管固定・接続/二次碍管固定・接続	045	一次固定　制8.4k	6	6	150	1	OK		000001A	2023/1/10	09:54:00	2023/1/10	09:55:00
009	制8.4kVA	HG0009	7	工程4	一次碍管固定・接続/二次碍管固定・接続	054	一次配線　制8.4k	2	1	150	1	OK		000001A	2023/1/10	09:56:00	2023/1/10	09:57:00
009	制8.4kVA	HG0009	7	工程4	一次碍管固定・接続/二次碍管固定・接続	054	一次配線　制8.4k	2	2	150	1	OK		000001A	2023/1/10	09:56:00	2023/1/10	09:57:00
009	制8.4kVA	HG0009	8	工程4	一次碍管固定・接続/二次碍管固定・接続	055	注油後カバー締め　制5k・制8.4k	2	1	41.7	1	OK		000027A	2023/1/10	09:58:00	2023/1/10	09:59:00
009	制8.4kVA	HG0009	8	工程4	一次碍管固定・接続/二次碍管固定・接続	055	注油後カバー締め　制5k・制8.4k	2	2	41.7	1	OK		000027A	2023/1/10	09:58:00	2023/1/10	09:59:00
009	制8.4kVA	HG0009	9	工程4	一次碍管固定・接続/二次碍管固定・接続	058	出荷前カバー締め確認　制5k・制8.4k	2	1	41.7	1	OK		000027A	2023/1/10	10:00:00	2023/1/10	10:01:00
009	制8.4kVA	HG0009	9	工程4	一次碍管固定・接続/二次碍管固定・接続	058	出荷前カバー締め確認　制5k・制8.4k	2	2	41.7	1	OK		000027A	2023/1/10	10:00:00	2023/1/10	10:01:00
